iterations, train_accuracy, test_accuracy
41 , 0.8962 , 0.8926
91 , 0.8966 , 0.8924
141 , 0.8968 , 0.8926
191 , 0.897 , 0.8928
241 , 0.897 , 0.8924
291 , 0.8972 , 0.8924
341 , 0.8972 , 0.8924
391 , 0.8972 , 0.8924
44 , 0.8956 , 0.8922
94 , 0.8968 , 0.892
144 , 0.8968 , 0.8928
194 , 0.897 , 0.8926
244 , 0.897 , 0.8924
294 , 0.8972 , 0.8924
344 , 0.8972 , 0.8924
394 , 0.8972 , 0.8924
42 , 0.8958 , 0.893
92 , 0.8968 , 0.8926
142 , 0.897 , 0.8926
192 , 0.897 , 0.8928
242 , 0.897 , 0.8924
292 , 0.8972 , 0.8924
342 , 0.8972 , 0.8924
392 , 0.8972 , 0.8924
45 , 0.8962 , 0.8926
95 , 0.897 , 0.8922
145 , 0.897 , 0.8924
195 , 0.897 , 0.8926
245 , 0.8972 , 0.8926
295 , 0.8972 , 0.8924
345 , 0.8972 , 0.8924
395 , 0.8972 , 0.8924
43 , 0.896 , 0.8926
93 , 0.897 , 0.8926
143 , 0.8966 , 0.8922
193 , 0.897 , 0.8926
243 , 0.897 , 0.8924
293 , 0.8972 , 0.8924
343 , 0.8972 , 0.8924
393 , 0.8972 , 0.8924
46 , 0.896 , 0.892
96 , 0.897 , 0.8924
146 , 0.897 , 0.8926
196 , 0.8968 , 0.8926
246 , 0.8972 , 0.8926
296 , 0.8972 , 0.8924
346 , 0.8972 , 0.8924
396 , 0.8972 , 0.8924
47 , 0.896 , 0.8926
97 , 0.8966 , 0.8922
147 , 0.897 , 0.8926
197 , 0.897 , 0.8928
247 , 0.8972 , 0.8926
297 , 0.8972 , 0.8924
347 , 0.8972 , 0.8924
397 , 0.8972 , 0.8924
48 , 0.8962 , 0.8928
98 , 0.8968 , 0.892
148 , 0.897 , 0.8926
198 , 0.897 , 0.8928
248 , 0.8972 , 0.8926
298 , 0.8972 , 0.8924
348 , 0.8972 , 0.8924
398 , 0.8972 , 0.8924
3 , 0.8808 , 0.8752
53 , 0.8964 , 0.8932
103 , 0.8966 , 0.8926
153 , 0.897 , 0.8926
203 , 0.897 , 0.8928
253 , 0.8972 , 0.8924
303 , 0.8972 , 0.8924
353 , 0.8972 , 0.8924
1 , 0.8808 , 0.8752
51 , 0.8964 , 0.8932
101 , 0.8968 , 0.8922
151 , 0.897 , 0.8924
201 , 0.897 , 0.8928
251 , 0.8972 , 0.8926
301 , 0.8972 , 0.8924
351 , 0.8972 , 0.8924
2 , 0.8808 , 0.8752
52 , 0.8966 , 0.8936
102 , 0.897 , 0.892
152 , 0.897 , 0.8924
202 , 0.8968 , 0.8928
252 , 0.8972 , 0.8924
302 , 0.8972 , 0.8924
352 , 0.8972 , 0.8924
49 , 0.8962 , 0.8932
99 , 0.8968 , 0.892
149 , 0.897 , 0.8926
199 , 0.897 , 0.8928
249 , 0.8972 , 0.8926
299 , 0.8972 , 0.8924
349 , 0.8972 , 0.8924
399 , 0.8972 , 0.8924
4 , 0.8808 , 0.8752
54 , 0.8966 , 0.8936
104 , 0.8968 , 0.8922
154 , 0.897 , 0.8922
204 , 0.897 , 0.8928
254 , 0.8972 , 0.8924
304 , 0.8972 , 0.8924
354 , 0.8972 , 0.8924
50 , 0.8962 , 0.8934
100 , 0.897 , 0.8918
150 , 0.897 , 0.8924
200 , 0.897 , 0.8928
250 , 0.8972 , 0.8926
300 , 0.8972 , 0.8924
350 , 0.8972 , 0.8924
400 , 0.8972 , 0.8924
5 , 0.8876 , 0.8826
55 , 0.896 , 0.8926
105 , 0.8966 , 0.8924
155 , 0.897 , 0.8926
205 , 0.897 , 0.8926
255 , 0.8972 , 0.8924
305 , 0.8972 , 0.8924
355 , 0.8972 , 0.8924
6 , 0.8876 , 0.8826
56 , 0.896 , 0.893
106 , 0.8966 , 0.8924
156 , 0.8968 , 0.8924
206 , 0.897 , 0.8926
256 , 0.8972 , 0.8924
306 , 0.8972 , 0.8924
356 , 0.8972 , 0.8924
7 , 0.89 , 0.887
57 , 0.8962 , 0.893
107 , 0.8968 , 0.8924
157 , 0.897 , 0.8924
207 , 0.897 , 0.8926
257 , 0.8972 , 0.8924
307 , 0.8972 , 0.8924
357 , 0.8972 , 0.8924
8 , 0.89 , 0.887
58 , 0.8962 , 0.8928
108 , 0.8968 , 0.8922
158 , 0.897 , 0.8926
208 , 0.897 , 0.8928
258 , 0.8972 , 0.8924
308 , 0.8972 , 0.8924
358 , 0.8972 , 0.8924
9 , 0.8932 , 0.8896
59 , 0.8966 , 0.893
109 , 0.8968 , 0.8922
159 , 0.897 , 0.8924
209 , 0.897 , 0.8926
259 , 0.8972 , 0.8924
309 , 0.8972 , 0.8924
359 , 0.8972 , 0.8924
10 , 0.8932 , 0.8896
60 , 0.8968 , 0.893
110 , 0.8968 , 0.8924
160 , 0.897 , 0.8926
210 , 0.897 , 0.8926
260 , 0.8972 , 0.8924
310 , 0.8972 , 0.8924
360 , 0.8972 , 0.8924
11 , 0.8944 , 0.8912
61 , 0.8968 , 0.8928
111 , 0.8968 , 0.8922
161 , 0.897 , 0.8924
211 , 0.897 , 0.8926
261 , 0.8972 , 0.8924
311 , 0.8972 , 0.8924
361 , 0.8972 , 0.8924
12 , 0.8932 , 0.8898
62 , 0.8966 , 0.8928
112 , 0.8966 , 0.8924
162 , 0.897 , 0.8926
212 , 0.897 , 0.8926
262 , 0.8972 , 0.8924
312 , 0.8972 , 0.8924
362 , 0.8972 , 0.8924
13 , 0.8962 , 0.8928
63 , 0.897 , 0.8928
113 , 0.8968 , 0.8922
163 , 0.897 , 0.8926
213 , 0.897 , 0.8924
263 , 0.8972 , 0.8924
313 , 0.8972 , 0.8924
363 , 0.8972 , 0.8924
14 , 0.8948 , 0.8922
64 , 0.897 , 0.8932
114 , 0.8968 , 0.8924
164 , 0.897 , 0.8926
214 , 0.8972 , 0.8926
264 , 0.8972 , 0.8926
314 , 0.8972 , 0.8924
364 , 0.8972 , 0.8924
15 , 0.8962 , 0.8928
65 , 0.8966 , 0.8928
115 , 0.897 , 0.8926
165 , 0.897 , 0.8924
215 , 0.897 , 0.8924
265 , 0.8972 , 0.8924
315 , 0.8972 , 0.8924
365 , 0.8972 , 0.8924
16 , 0.8956 , 0.894
66 , 0.8964 , 0.8928
116 , 0.8968 , 0.8924
166 , 0.897 , 0.8926
216 , 0.8972 , 0.8926
266 , 0.8972 , 0.8924
316 , 0.8972 , 0.8924
366 , 0.8972 , 0.8924
17 , 0.894 , 0.8906
67 , 0.8966 , 0.8924
117 , 0.8968 , 0.8924
167 , 0.897 , 0.8926
217 , 0.8972 , 0.8924
267 , 0.8972 , 0.8924
317 , 0.8972 , 0.8924
367 , 0.8972 , 0.8924
18 , 0.8952 , 0.8926
68 , 0.8966 , 0.8928
118 , 0.8966 , 0.8924
168 , 0.897 , 0.8926
218 , 0.8972 , 0.8926
268 , 0.8972 , 0.8924
318 , 0.8972 , 0.8924
368 , 0.8972 , 0.8924
19 , 0.8952 , 0.8902
69 , 0.8962 , 0.8926
119 , 0.8968 , 0.8924
169 , 0.897 , 0.8926
219 , 0.8972 , 0.8926
269 , 0.8972 , 0.8924
319 , 0.8972 , 0.8924
369 , 0.8972 , 0.8924
20 , 0.8954 , 0.892
70 , 0.8968 , 0.8926
120 , 0.8968 , 0.8924
170 , 0.897 , 0.8926
220 , 0.897 , 0.8926
270 , 0.8972 , 0.8924
320 , 0.8972 , 0.8924
370 , 0.8972 , 0.8924
21 , 0.8944 , 0.8918
71 , 0.8966 , 0.8924
121 , 0.897 , 0.8922
171 , 0.8968 , 0.8926
221 , 0.8972 , 0.8926
271 , 0.8972 , 0.8924
321 , 0.8972 , 0.8924
371 , 0.8972 , 0.8924
22 , 0.8948 , 0.893
72 , 0.8966 , 0.8926
122 , 0.897 , 0.8924
172 , 0.897 , 0.8926
222 , 0.897 , 0.8926
272 , 0.8972 , 0.8924
322 , 0.8972 , 0.8924
372 , 0.8972 , 0.8924
23 , 0.8958 , 0.8938
73 , 0.8962 , 0.8926
123 , 0.8968 , 0.8924
173 , 0.897 , 0.8926
223 , 0.897 , 0.8926
273 , 0.8972 , 0.8924
323 , 0.8972 , 0.8924
373 , 0.8972 , 0.8924
24 , 0.8954 , 0.8934
74 , 0.8966 , 0.8926
124 , 0.897 , 0.892
174 , 0.897 , 0.8928
224 , 0.897 , 0.8926
274 , 0.8972 , 0.8924
324 , 0.8972 , 0.8924
374 , 0.8972 , 0.8924
25 , 0.895 , 0.8932
75 , 0.8964 , 0.8926
125 , 0.8968 , 0.8922
175 , 0.897 , 0.8928
225 , 0.897 , 0.8926
275 , 0.8972 , 0.8924
325 , 0.8972 , 0.8924
375 , 0.8972 , 0.8924
26 , 0.896 , 0.8942
76 , 0.8966 , 0.8928
126 , 0.8968 , 0.8922
176 , 0.897 , 0.8928
226 , 0.897 , 0.8926
276 , 0.8972 , 0.8924
326 , 0.8972 , 0.8924
376 , 0.8972 , 0.8924
27 , 0.896 , 0.8934
77 , 0.8962 , 0.8926
127 , 0.897 , 0.8918
177 , 0.897 , 0.8928
227 , 0.897 , 0.8926
277 , 0.8972 , 0.8924
327 , 0.8972 , 0.8924
377 , 0.8972 , 0.8924
28 , 0.8968 , 0.8942
78 , 0.8964 , 0.8926
128 , 0.897 , 0.8924
178 , 0.8968 , 0.8928
228 , 0.897 , 0.8924
278 , 0.8972 , 0.8924
328 , 0.8972 , 0.8924
378 , 0.8972 , 0.8924
29 , 0.896 , 0.8932
79 , 0.8962 , 0.8926
129 , 0.8968 , 0.8922
179 , 0.897 , 0.8928
229 , 0.897 , 0.8924
279 , 0.8972 , 0.8926
329 , 0.8972 , 0.8924
379 , 0.8972 , 0.8924
30 , 0.8964 , 0.8934
80 , 0.8964 , 0.8926
130 , 0.8968 , 0.892
180 , 0.897 , 0.8928
230 , 0.897 , 0.8924
280 , 0.8972 , 0.8926
330 , 0.8972 , 0.8924
380 , 0.8972 , 0.8924
31 , 0.896 , 0.893
81 , 0.8962 , 0.8926
131 , 0.897 , 0.892
181 , 0.897 , 0.8928
231 , 0.8972 , 0.8926
281 , 0.8972 , 0.8924
331 , 0.8972 , 0.8924
381 , 0.8972 , 0.8924
32 , 0.897 , 0.894
82 , 0.8962 , 0.893
132 , 0.8968 , 0.8924
182 , 0.897 , 0.8928
232 , 0.897 , 0.8924
282 , 0.8972 , 0.8924
332 , 0.8972 , 0.8924
382 , 0.8972 , 0.8924
33 , 0.8958 , 0.893
83 , 0.8964 , 0.8934
133 , 0.897 , 0.8922
183 , 0.897 , 0.8928
233 , 0.8972 , 0.8926
283 , 0.8972 , 0.8924
333 , 0.8972 , 0.8924
383 , 0.8972 , 0.8924
34 , 0.896 , 0.8936
84 , 0.8962 , 0.8932
134 , 0.897 , 0.8924
184 , 0.897 , 0.8928
234 , 0.897 , 0.8924
284 , 0.8972 , 0.8924
334 , 0.8972 , 0.8924
384 , 0.8972 , 0.8924
35 , 0.8962 , 0.893
85 , 0.8964 , 0.8932
135 , 0.897 , 0.8924
185 , 0.897 , 0.8928
235 , 0.897 , 0.8924
285 , 0.8972 , 0.8924
335 , 0.8972 , 0.8924
385 , 0.8972 , 0.8924
36 , 0.8964 , 0.893
86 , 0.8964 , 0.8932
136 , 0.897 , 0.8926
186 , 0.897 , 0.8928
236 , 0.897 , 0.8926
286 , 0.8972 , 0.8924
336 , 0.8972 , 0.8924
386 , 0.8972 , 0.8924
37 , 0.8954 , 0.8926
87 , 0.8964 , 0.893
137 , 0.8966 , 0.8926
187 , 0.897 , 0.8926
237 , 0.897 , 0.8924
287 , 0.8972 , 0.8924
337 , 0.8972 , 0.8924
387 , 0.8972 , 0.8924
38 , 0.8954 , 0.893
88 , 0.8964 , 0.8926
138 , 0.897 , 0.8926
188 , 0.897 , 0.8928
238 , 0.897 , 0.8926
288 , 0.8972 , 0.8924
338 , 0.8972 , 0.8924
39 , 0.8958 , 0.8926
89 , 0.8966 , 0.8926
139 , 0.8966 , 0.8926
189 , 0.897 , 0.8926
239 , 0.897 , 0.8924
289 , 0.8972 , 0.8924
339 , 0.8972 , 0.8924
40 , 0.8954 , 0.893
90 , 0.8966 , 0.8928
140 , 0.8968 , 0.8924
190 , 0.897 , 0.8928
240 , 0.897 , 0.8926
290 , 0.8972 , 0.8924
340 , 0.8972 , 0.8924
